City,Country,coffee_price_usd,monthly_net_salary,daily_income_usd,coffee_affordability,restaurant_avg_usd,market_avg_usd,general_price_index,coffee_relative_price,coffee_survival_days_30,relative_cost_of_living,student_score
London,United Kingdom,3.94,4729.62,157.654,0.02499143694419425,18.19142857142857,4.331,11.261214285714285,0.34987345947214527,7.614213197969543,0.5599499920974728,0.22944775473323525
New York,United States,4.82,5506.53,183.551,0.026259731627721997,21.795714285714286,6.4595,14.127607142857144,0.3411759649925551,6.224066390041493,0.7024778418464566,0.2559782236809188
Los Angeles,United States,4.69,4221.12,140.704,0.033332385717534684,17.912857142857142,5.3405000000000005,11.62667857142857,0.40338261449191676,6.3965884861407245,0.5781222529838699,0.2533054278031164
Chicago,United States,4.26,5199.91,173.33033333333333,0.024577348454107858,16.318571428571428,4.981,10.649785714285713,0.40000804845167914,7.042253521126761,0.5295474604474073,0.23820058085203913
Toronto,Canada,3.21,3459.7,115.32333333333332,0.02783478336271931,14.767142857142856,4.3165,9.541821428571428,0.33641375748116376,9.345794392523365,0.474455302773343,0.20973257948037738
Vancouver,Canada,3.18,3368.73,112.291,0.028319277591258428,13.447142857142856,4.9174999999999995,9.182321428571427,0.34631765232103623,9.433962264150942,0.4565796086384389,0.20937085621962787
Rome,Italy,1.56,2235.51,74.51700000000001,0.0209348202423608,16.565714285714286,4.5225,10.544107142857143,0.14794993818483582,19.23076923076923,0.5242927238146653,0.1597109363395642
Barcelona,Spain,2.2,2305.11,76.837,0.028632039251922904,13.764285714285714,3.6105000000000005,8.687392857142857,0.25324053328509705,13.636363636363635,0.43196989581095024,0.1766821587736806
Amsterdam,Netherlands,4.03,4865.93,162.19766666666666,0.024846226723360183,20.138571428571428,4.4910000000000005,12.314785714285714,0.32724889360640813,7.444168734491314,0.6123375320318729,0.2330652878499771
Prague,Czech Republic,2.69,2313.69,77.123,0.03487934857305862,8.812857142857142,3.1365,5.974678571428571,0.4502334255877483,11.152416356877323,0.2970835234971435,0.2119264066622825
Geneva,Switzerland,5.62,7496.77,249.89233333333334,0.022489685557913607,30.005714285714284,10.2165,20.111107142857144,0.2794475689517697,5.338078291814947,1.0,0.29507911346448773
Copenhagen,Denmark,6.38,4752.58,158.41933333333333,0.040272862318993054,23.444285714285716,5.039499999999999,14.241892857142858,0.44797416073806395,4.702194357366771,0.7081605580427305,0.2961607909894618
Oslo,Norway,4.47,3893.72,129.79066666666665,0.034440072732502595,21.25142857142857,6.192,13.721714285714285,0.32576104610002915,6.7114093959731544,0.6822953201056274,0.25140741421738555
Gothenburg,Sweden,4.41,3849.44,128.31466666666668,0.03436863543788187,18.648571428571426,4.4525,11.550535714285713,0.381800473076388,6.802721088435374,0.5743361433181025,0.24659168830547784
Stockholm,Sweden,4.27,3592.18,119.73933333333333,0.035660796507970084,18.824285714285715,4.763,11.793642857142856,0.36205946302790243,7.0257611241217806,0.5864243461768638,0.24373310639772852
Vienna,Austria,4.04,3740.54,124.68466666666667,0.032401738786378434,14.184285714285712,4.07,9.127142857142857,0.44263578024730005,7.425742574257426,0.45383592222492547,0.23975878791236432
Berlin,Germany,3.47,3696.35,123.21166666666666,0.028162917472641935,13.622857142857143,3.968,8.795428571428571,0.3945231288981289,8.645533141210374,0.4373418384652404,0.21990676509880772
Munich,Germany,3.79,4590.39,153.013,0.024769137262846946,16.414285714285715,4.4445,10.429392857142858,0.3633960338740441,7.915567282321899,0.5185886974326555,0.2251211182801678
Hamburg,Germany,3.53,3962.09,132.06966666666668,0.026728317630341558,13.978571428571428,3.8199999999999994,8.899285714285714,0.39666104823822135,8.498583569405099,0.4425060068086043,0.22086367464835804
Cologne,Germany,3.22,3447.69,114.923,0.02801876038738982,15.495714285714284,3.5295,9.512607142857142,0.3384981584588873,9.316770186335404,0.4730026584456705,0.2101593594204952
Stuttgart,Germany,3.43,3844.28,128.14266666666668,0.02676704090232761,15.128571428571428,3.7269999999999994,9.427785714285713,0.36381819697095974,8.746355685131196,0.46878501751874846,0.21628598304620145
Helsinki,Finland,4.88,3423.99,114.133,0.04275713422060228,20.168571428571425,4.904999999999999,12.536785714285713,0.3892544796741019,6.147540983606557,0.6233762082431349,0.2628301526611587
Paris,France,4.38,3937.62,131.254,0.03337041156840934,17.919999999999998,6.193,12.0565,0.36328951188155767,6.8493150684931505,0.5994945934282938,0.24557097803433076
Lyon,France,3.67,3209.04,106.968,0.03430932615361603,15.124285714285715,5.397,10.260642857142859,0.3576773942039276,8.174386920980927,0.5101978117990947,0.22649744369780522
Toulouse,France,3.18,2840.27,94.67566666666667,0.03358835603657399,15.408571428571426,5.128,10.268285714285714,0.3096914215754473,9.433962264150942,0.5105778434447205,0.2118171731798653
Madrid,Spain,2.34,2694.59,89.81966666666668,0.026052200891415758,13.804285714285713,3.6159999999999997,8.710142857142856,0.2686523101146447,12.820512820512821,0.43310111150377095,0.18024201578085547
Valencia,Spain,2.04,2445.32,81.51066666666667,0.025027399276986245,10.248571428571429,3.0735,6.661035714285715,0.30625867920582917,14.705882352941176,0.3312117859533911,0.1706336605909201
Seville,Spain,1.71,1889.28,62.976,0.027153201219512195,9.212857142857144,3.4085,6.310678571428572,0.2709692754344959,17.54385964912281,0.3137907091141889,0.15762552506294264
Lisbon,Portugal,1.98,1507.04,50.23466666666666,0.03941501220936405,9.935714285714285,2.859,6.3973571428571425,0.30950280807922914,15.151515151515152,0.3181006941793003,0.17617848736431085
Porto,Portugal,1.82,1427.46,47.582,0.03824975831196671,9.584285714285715,2.971,6.277642857142857,0.28991773527370374,16.483516483516482,0.3121480489637034,0.16852980953083516
Braga,Portugal,1.52,1282.9,42.763333333333335,0.03554446956115052,8.377142857142857,3.109,5.743071428571429,0.26466674129074785,19.736842105263158,0.2855671439556322,0.15428568595892606
Coimbra,Portugal,1.58,1428.15,47.605000000000004,0.03318979098834156,10.168571428571429,2.911,6.539785714285714,0.24159813012658782,18.987341772151897,0.3251827792389067,0.15411089037992845
Athens,Greece,3.76,1252.33,41.74433333333333,0.0900721055951706,12.072857142857142,3.2950000000000004,7.683928571428571,0.4893330234719963,7.9787234042553195,0.3820738717588539,0.26825073419095496
