City,Country,Category,Item Name,Min Local,Avg Local,Max Local,Currency,Min USD,Avg USD,Max USD
Vancouver,Canada,Markets,"Apples, 1 kg",1.98,3.82,5.66,CAD,1.43,2.75,4.08
Vancouver,Canada,Markets,"Banana, 1 kg",0.99,1.74,3.37,CAD,0.71,1.25,2.43
Vancouver,Canada,Markets,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",9.96,21.83,33.7,CAD,7.18,15.73,24.29
Vancouver,Canada,Markets,"Bottle of Wine, Mid-Range Price",11.95,17.92,24.88,CAD,8.61,12.92,17.93
Vancouver,Canada,Markets,"Chicken Breasts, Boneless and Skinless, 1 kg",6.96,16.32,25.68,CAD,5.02,11.76,18.51
Vancouver,Canada,Markets,"Domestic Beer, 0.5 liter Bottle",1.99,3.46,4.97,CAD,1.43,2.49,3.58
Vancouver,Canada,Markets,"Eggs, 12 pack",2.49,3.94,5.97,CAD,1.79,2.84,4.30
Vancouver,Canada,Markets,"Lettuce, 1 head",0.99,2.54,4.09,CAD,0.71,1.83,2.95
Vancouver,Canada,Markets,"Loaf of Fresh White Bread, 0.5 kg",1.94,3.17,4.97,CAD,1.40,2.28,3.58
Vancouver,Canada,Markets,"Local Cheese, 1 kg",7.69,17.73,44.8,CAD,5.54,12.78,32.29
Vancouver,Canada,Markets,"Milk, Regular,1 liter",1.27,2.32,3.98,CAD,0.92,1.67,2.87
Vancouver,Canada,Markets,"Onion, 1 kg",1.24,3.25,5.26,CAD,0.89,2.34,3.79
Vancouver,Canada,Markets,"Oranges, 1 kg",0.99,3.68,6.58,CAD,0.71,2.65,4.74
Vancouver,Canada,Markets,Pack of Cigarettes,13.94,14.93,17.92,CAD,10.05,10.76,12.92
Vancouver,Canada,Markets,"Potato, 1 kg",1.09,3.21,5.33,CAD,0.79,2.31,3.84
Vancouver,Canada,Markets,"White Rice, 1 kg",1.99,4.32,9.88,CAD,1.43,3.11,7.12
Vancouver,Canada,Markets,"Tomato, 1 kg",1.99,4.17,6.35,CAD,1.43,3.01,4.58
Vancouver,Canada,Markets,"Water, 1.5 liter Bottle",1.19,2.41,3.63,CAD,0.86,1.74,2.62
Vancouver,Canada,Restaurants,Cappuccino,2.98,4.41,5.97,CAD,2.15,3.18,4.30
Vancouver,Canada,Restaurants,"Coca-Cola, 0.33 liter Bottle",1.79,2.26,2.98,CAD,1.29,1.63,2.15
Vancouver,Canada,Restaurants,"Domestic Beer, 0.5 liter Draught",5.48,6.96,8.44,CAD,3.95,5.02,6.08
Vancouver,Canada,Restaurants,"Imported Beer, 0.33 liter Bottle",5.97,7.47,9.96,CAD,4.30,5.38,7.18
Vancouver,Canada,Restaurants,McMeal at McDonalds or Alternative Combo Meal,8.96,9.96,10.96,CAD,6.46,7.18,7.90
Vancouver,Canada,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",54.75,79.63,149.31,CAD,39.46,57.39,107.61
Vancouver,Canada,Restaurants,Meal in Inexpensive Restaurant,11.95,19.91,27.87,CAD,8.61,14.35,20.09
Vancouver,Canada,Markets,"Water, 0.33 liter Bottle",0.99,1.84,2.98,CAD,0.71,1.33,2.15
Vancouver,Canada,Markets,"Imported Beer, 0.33 liter Bottle",2.49,3.89,5.97,CAD,1.79,2.80,4.30
Rome,Italy,Markets,"Apples, 1 kg",1.34,1.97,4.13,EUR,1.57,2.31,4.84
Rome,Italy,Markets,"Banana, 1 kg",1.03,1.74,4.13,EUR,1.21,2.04,4.84
Rome,Italy,Markets,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",10.32,15.48,22.71,EUR,12.10,18.15,26.62
Rome,Italy,Markets,"Bottle of Wine, Mid-Range Price",3.1,6.7,10.32,EUR,3.63,7.85,12.10
Rome,Italy,Markets,"Chicken Breasts, Boneless and Skinless, 1 kg",6.19,8.88,13.42,EUR,7.26,10.41,15.73
Rome,Italy,Markets,"Domestic Beer, 0.5 liter Bottle",1.03,1.29,2.27,EUR,1.21,1.51,2.66
Rome,Italy,Markets,"Eggs, 12 pack",1.85,3.74,6.19,EUR,2.17,4.38,7.26
Rome,Italy,Markets,"Lettuce, 1 head",0.52,1.37,2.22,EUR,0.61,1.61,2.60
Rome,Italy,Markets,"Loaf of Fresh White Bread, 0.5 kg",1.03,1.9,3.62,EUR,1.21,2.23,4.24
Rome,Italy,Markets,"Local Cheese, 1 kg",8.25,13.31,25.8,EUR,9.67,15.60,30.24
Rome,Italy,Markets,"Milk, Regular,1 liter",0.93,1.47,2.07,EUR,1.09,1.72,2.43
Rome,Italy,Markets,"Onion, 1 kg",1.03,1.51,3.1,EUR,1.21,1.77,3.63
Rome,Italy,Markets,"Oranges, 1 kg",1.24,2.14,4.13,EUR,1.45,2.51,4.84
Rome,Italy,Markets,Pack of Cigarettes,5.37,5.88,6.39,EUR,6.29,6.89,7.49
Rome,Italy,Markets,"Potato, 1 kg",1.02,1.44,3.62,EUR,1.20,1.69,4.24
Rome,Italy,Markets,"White Rice, 1 kg",1.55,2.42,3.62,EUR,1.82,2.84,4.24
Rome,Italy,Markets,"Tomato, 1 kg",1.03,2.21,3.62,EUR,1.21,2.59,4.24
Rome,Italy,Markets,"Water, 1.5 liter Bottle",0.31,0.63,1.24,EUR,0.36,0.74,1.45
Rome,Italy,Restaurants,Cappuccino,1.03,1.33,3.1,EUR,1.21,1.56,3.63
Rome,Italy,Restaurants,"Coca-Cola, 0.33 liter Bottle",1.55,2.04,3.1,EUR,1.82,2.39,3.63
Rome,Italy,Restaurants,"Domestic Beer, 0.5 liter Draught",3.1,5.16,7.22,EUR,3.63,6.05,8.46
Rome,Italy,Restaurants,"Imported Beer, 0.33 liter Bottle",3.1,4.75,6.4,EUR,3.63,5.57,7.50
Rome,Italy,Restaurants,McMeal at McDonalds or Alternative Combo Meal,7.74,8.25,10.32,EUR,9.07,9.67,12.10
Rome,Italy,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",43.34,61.91,92.87,EUR,50.80,72.57,108.86
Rome,Italy,Restaurants,Meal in Inexpensive Restaurant,9.29,15.48,25.8,EUR,10.89,18.15,30.24
Rome,Italy,Markets,"Water, 0.33 liter Bottle",1.03,1.17,2.07,EUR,1.21,1.37,2.43
Rome,Italy,Markets,"Imported Beer, 0.33 liter Bottle",1.03,1.91,3.1,EUR,1.21,2.24,3.63
Barcelona,Spain,Markets,"Apples, 1 kg",1.03,1.96,3.1,EUR,1.21,2.30,3.63
Barcelona,Spain,Markets,"Banana, 1 kg",1.24,1.83,3.1,EUR,1.45,2.15,3.63
Barcelona,Spain,Markets,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",6.19,12.34,20.64,EUR,7.26,14.46,24.19
Barcelona,Spain,Markets,"Bottle of Wine, Mid-Range Price",3.1,5.16,8.25,EUR,3.63,6.05,9.67
Barcelona,Spain,Markets,"Chicken Breasts, Boneless and Skinless, 1 kg",3.1,6.53,9.96,EUR,3.63,7.65,11.68
Barcelona,Spain,Markets,"Domestic Beer, 0.5 liter Bottle",0.67,1.15,2.07,EUR,0.79,1.35,2.43
Barcelona,Spain,Markets,"Eggs, 12 pack",1.24,2.25,3.87,EUR,1.45,2.64,4.54
Barcelona,Spain,Markets,"Lettuce, 1 head",0.62,1.02,1.55,EUR,0.73,1.20,1.82
Barcelona,Spain,Markets,"Loaf of Fresh White Bread, 0.5 kg",0.93,1.36,2.58,EUR,1.09,1.59,3.02
Barcelona,Spain,Markets,"Local Cheese, 1 kg",4.64,10.51,18.06,EUR,5.44,12.32,21.17
Barcelona,Spain,Markets,"Milk, Regular,1 liter",0.62,0.93,1.24,EUR,0.73,1.09,1.45
Barcelona,Spain,Markets,"Onion, 1 kg",0.83,1.24,2.07,EUR,0.97,1.45,2.43
Barcelona,Spain,Markets,"Oranges, 1 kg",1.03,1.78,3.1,EUR,1.21,2.09,3.63
Barcelona,Spain,Markets,Pack of Cigarettes,4.95,5.16,5.67,EUR,5.80,6.05,6.65
Barcelona,Spain,Markets,"Potato, 1 kg",0.72,1.34,2.07,EUR,0.84,1.57,2.43
Barcelona,Spain,Markets,"White Rice, 1 kg",0.72,1.15,2.07,EUR,0.84,1.35,2.43
Barcelona,Spain,Markets,"Tomato, 1 kg",1.03,1.94,3.1,EUR,1.21,2.27,3.63
Barcelona,Spain,Markets,"Water, 1.5 liter Bottle",0.42,0.77,1.3,EUR,0.49,0.90,1.52
Barcelona,Spain,Restaurants,Cappuccino,1.24,1.88,3.1,EUR,1.45,2.20,3.63
Barcelona,Spain,Restaurants,"Coca-Cola, 0.33 liter Bottle",1.24,1.9,3.1,EUR,1.45,2.23,3.63
Barcelona,Spain,Restaurants,"Domestic Beer, 0.5 liter Draught",2.07,3.1,4.3,EUR,2.43,3.63,5.04
Barcelona,Spain,Restaurants,"Imported Beer, 0.33 liter Bottle",2.58,3.1,5.16,EUR,3.02,3.63,6.05
Barcelona,Spain,Restaurants,McMeal at McDonalds or Alternative Combo Meal,7.22,8.25,9.29,EUR,8.46,9.67,10.89
Barcelona,Spain,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",36.12,51.59,67.08,EUR,42.34,60.47,78.63
Barcelona,Spain,Restaurants,Meal in Inexpensive Restaurant,10.32,12.39,15.48,EUR,12.10,14.52,18.15
Barcelona,Spain,Markets,"Water, 0.33 liter Bottle",1.03,1.39,2.07,EUR,1.21,1.63,2.43
Barcelona,Spain,Markets,"Imported Beer, 0.33 liter Bottle",1.03,1.79,3.1,EUR,1.21,2.10,3.63
Amsterdam,Netherlands,Markets,"Apples, 1 kg",1.33,2.24,3.15,EUR,1.56,2.63,3.69
Amsterdam,Netherlands,Markets,"Banana, 1 kg",1.23,1.74,3.1,EUR,1.44,2.04,3.63
Amsterdam,Netherlands,Markets,"Beef Round or Equivalent Back Leg Red Meat, 1 kg ",6.19,14.47,22.75,EUR,7.26,16.96,26.67
Amsterdam,Netherlands,Markets,"Bottle of Wine, Mid-Range Price",5.16,7.22,12.9,EUR,6.05,8.46,15.12
Amsterdam,Netherlands,Markets,"Chicken Breasts, Boneless and Skinless, 1 kg",5.16,8.28,11.4,EUR,6.05,9.71,13.36
Amsterdam,Netherlands,Markets,"Domestic Beer, 0.5 liter Bottle",0.77,1.27,2.07,EUR,0.90,1.49,2.43
Amsterdam,Netherlands,Markets,"Eggs, 12 pack",1.68,2.93,4.33,EUR,1.97,3.43,5.08
Amsterdam,Netherlands,Markets,"Lettuce, 1 head",0.71,0.96,1.55,EUR,0.83,1.13,1.82
Amsterdam,Netherlands,Markets,"Loaf of Fresh White Bread, 0.5 kg",1.02,1.83,3.1,EUR,1.20,2.15,3.63
Amsterdam,Netherlands,Markets,"Local Cheese, 1 kg",6.82,12.12,20.94,EUR,7.99,14.21,24.55
Amsterdam,Netherlands,Markets,"Milk, Regular,1 liter",0.86,1.1,1.85,EUR,1.01,1.29,2.17
Amsterdam,Netherlands,Markets,"Onion, 1 kg",1.03,1.33,2.07,EUR,1.21,1.56,2.43
Amsterdam,Netherlands,Markets,"Oranges, 1 kg",1.13,1.73,3.1,EUR,1.32,2.03,3.63
Amsterdam,Netherlands,Markets,Pack of Cigarettes,7.22,8.25,9.28,EUR,8.46,9.67,10.88
Amsterdam,Netherlands,Markets,"Potato, 1 kg",1.03,1.56,2.58,EUR,1.21,1.83,3.02
Amsterdam,Netherlands,Markets,"White Rice, 1 kg",1.55,2.12,3.1,EUR,1.82,2.49,3.63
Amsterdam,Netherlands,Markets,"Tomato, 1 kg",1.55,2.36,3.62,EUR,1.82,2.77,4.24
Amsterdam,Netherlands,Markets,"Water, 1.5 liter Bottle",0.52,0.92,1.55,EUR,0.61,1.08,1.82
Amsterdam,Netherlands,Restaurants,Cappuccino,2.07,3.44,4.81,EUR,2.43,4.03,5.64
Amsterdam,Netherlands,Restaurants,"Coca-Cola, 0.33 liter Bottle",2.07,2.79,3.51,EUR,2.43,3.27,4.11
Amsterdam,Netherlands,Restaurants,"Domestic Beer, 0.5 liter Draught",3.35,5.16,8.25,EUR,3.93,6.05,9.67
Amsterdam,Netherlands,Restaurants,"Imported Beer, 0.33 liter Bottle",3.62,5.16,6.7,EUR,4.24,6.05,7.85
Amsterdam,Netherlands,Restaurants,McMeal at McDonalds or Alternative Combo Meal,8.25,8.77,10.32,EUR,9.67,10.28,12.10
Amsterdam,Netherlands,Restaurants,"Meal for 2 People, Mid-range Restaurant, Three-course",61.91,78.43,123.83,EUR,72.57,91.94,145.15
Amsterdam,Netherlands,Restaurants,Meal in Inexpensive Restaurant,10.32,16.51,25.8,EUR,12.10,19.35,30.24
Amsterdam,Netherlands,Markets,"Water, 0.33 liter Bottle",1.89,2.24,2.89,EUR,2.22,2.63,3.39
Amsterdam,Netherlands,Markets,"Imported Beer, 0.33 liter Bottle",1.47,1.93,2.67,EUR,1.72,2.26,3.13
